nid	mid	fields
1440285252887	1434200840257	Molecular Assumptions	Motions of nuclei are much slower than electrons<div>Nuclei occupy almost fixed positions</div><div>inner shell electrons are localised to a nucleus</div><div>Valence shell electrons are distributed over entire molecule (this provides the binding force)</div>
1442037159337	1434200840257	Fine, hyperfine, are there any others?	<div>What causes these?</div>What are the symmetries?<div>Are they always above/below?</div><div><br /></div>
1442037275433	1434200840257	electron &nbsp;configuration	
1442056634885	1434200840257	Born Oppenheimer approximation	
1442057715508	1434200840257	Boltzman Factor	
1442057727836	1434200840257	Franck Condon Factor	
1442057958519	1434200840257	Term Symbol	[$].^{2S+1}\Lambda_\Omega[/$]<div>[$]\Lambda[/$] can take values&nbsp;[$]\Sigma,\Pi,\Delta[/$]</div><div>[$]\Lambda=|M_L|[/$]</div><div>[$]\lambda = |m_l|[/$] - lower case greek</div>
1442058381628	1434200840257	Diabatic and Adiabatic	
1442058430000	1434200840257	non-crossing rule	
1442058440842	1434200840257	Bonding/antibonding orbitals	
1442058521027	1434200840257	Hund-Mulliken or Molecular orbital method	
1442058582699	1434200840257	Molecular selection rules	
1442059774964	1434200840257	Rotational Constant	
1442059900766	1434200840257	Raman Scattering	
1442060005965	1434200840257	Transition Intensity	
1442060663025	1434200840257	Fermi Wentzel golden rule	
1438085333539	1434200840257	3 ways that DNA can change	deletion<div>substitution</div><div>insertion</div>
1438085782721	1434200840257	Rough method to compare sequences	Add blank spaces into both sequences. Score the sequences by adding ?? for each blank, adding ?? for each that is the same, and ?? for each that is different.
1438086011486	1434200840257	substitution matrix	s(a,b)<div>It tells you how likely&nbsp;[$]a[/$] is to have been substituted with&nbsp;[$]b[/$]. (some amino acids are more easily replaced with others).</div><div>It should be symmetric.</div>
1438144468620	1434200840257	Linear Gap Model	Insertion/deletions all have a penalty of d.
1438144489098	1434200840257	Best Score Matrix Elements: F(i,j)	F(i,j)=max\left{$\begin{array}{l}<div>F(i-1,j-1)+s(x_i,y_j)\\</div><div>F(i-1,j)-d\\</div><div>F(i,j-1)-d \right.&nbsp;</div><div>where d&gt;0 is the substitution penalty, s(a,b) is the gap penalty</div><div><br /></div>
1438145368011	1434200840257	Needleman Wunch Algorithm	Make the best score matrix.&nbsp;<div>The best score is the score of F(m,n)</div><div>Starting at the last element (m,n), trace it back to the beginning (0,0) to get the sequence<div><br /></div></div>
1438145687210	1434200840257	Smith Waterman Algorithm (Purpose)	Compare two subsequences (taken somewhere in the whole sequence)<div>Find the Best Local Allignment/best aligning &nbsp;subsets.</div>
1438145844945	1434200840257	Smith-Waterman Algorithm	F(i,j) also has the option of 0<div>Search for maximum value of F(i.j) and search back until it stops (reaches a zero).</div>
1438145959641	1434200840257	Affine Gap Model	Big penalty for starting a gap, smaller penalty for continuing the gap
1438435298749	1434200840257	Transition Probability Matrix	[latex]<div><div><br /></div><div>$\Pi = \left(</div><div>\begin{array}{c|ccc|c}</div><div>0&amp;p_{01}&amp;...&amp;p_{0N}&amp;0\\</div><div>\hline</div><div>0&amp;p_{11}&amp;...&amp;p_{1N}&amp;p_{10}\\</div><div>...&amp;...&amp;...&amp;...&amp;...\\</div><div>0&amp;p_{N1}&amp;...&amp;p_{NN}&amp;p_{N0}\\</div><div>\hline</div><div>0&amp;0&amp;0&amp;0&amp;1</div><div>\end{array}</div><div>\right)$</div><div>\\\\</div><div>$</div><div>0\leq p_{ij} \leq 1 \\</div><div>\Sigma_{j=1}^N p_{0j}=1 \\</div><div>p_{i0}+\Sigma_{j=1}^N p_{ij}=1</div><div>$</div><div>\\\\</div><div>The probabillity of any path is given by:\\</div><div>$P(x)=p_{0x_1}p_{x_1x_2}p_{x_2x_3}...p_{x_{L-1}x_L}p_{x_L0}$</div><div><br /></div><div><br /></div><div>[/latex]</div></div><div><br /></div><div><br /></div><div><br /></div>
1438436186524	1434200840257	Hidden Markov Model	Think of the Occasionally Dishonest Casino.&nbsp;<div>Two simlilar Markov models run parallel (different probabilities in each), and ocassionally you go between them. How do you know if you have changed?</div>
1438436196037	1434200840257	CpG	C and G are base pairs. p refers to the phosphourous backbone.<div>Regions with lots of C and Gs are CpG islands</div><div><br /></div><div>C can more easily mutate into a T, so if a T is found in a CpG island, and in a CpG island, there is only a small chance of finding a T.</div><div><br /></div><div>This means that if we get a T, we can guess that it should be a C.</div>
1438436201425	1434200840257	Fully Connected Markov Chain	All transition probabilities are non-zero
1438436309538	1434200840257	Viterbi Algorithm	
1438437185893	1434200840257	Forward Algorithm	
1438437339397	1434200840257	Conditional Probability	[$]P(A|B)=\frac{P(A \text{ AND } B)}{P(B)}[/$]
1438437465193	1434200840257	Backward Algorithm	[$]b_k(L)=p_{k0}[/$] for k=1...N<div><br /></div><div>For i=L-1...1:</div><div>[$]b_k(i)=\Sigma_{l=1}^Np_{kl}q_l*x_{i+1}b_l(i+1)[/$]</div><div><br /></div><div>Finally:</div><div>P(x)=\Sigma_{l=1}^Np_{0l}q_l(x_1)b_l(1)</div><div><br /></div><div><br /></div>
1439191007724	1434200840257	FASTA	find all matches and put dots there.<div>If there are more than k dots in a diagonal, draw a line to the ends. Add parallel lines so that the number of parallel lines on either side is b (i.e. b above, and b below)</div>
1440286581769	1434200840257	Viterbi Path	For a HMM, find the path of the greatest probability
1440286640919	1434200840257	Connected HMM	all transition probabilities are non-zero
1440286775450	1434200840257	Baum-Welch Algorithm	
1440286830504	1434200840257	a priori	independent of experience
1440286910232	1434200840257	silent state	
1440286923493	1434200840257	Forward Connected	
1440286943119	1434200840257	Sequence Family	
1440286980047	1434200840257	match states	
1440287033337	1434200840257	insert states	
1440287038361	1434200840257	delete states	
1440287044409	1434200840257	semiHMM	Each state emits a string of symbols (not just one) - useful for comparing entire chromosomes
1440287146076	1434200840257	promoter of a gene	Where specialised proteins bind to initiate transcription.
1440287256332	1434200840257	upstream region	DNA before the section of DNA that gets copied
1440287295951	1434200840257	Exons and Introns	Exons - coding regions<div>Introns - non coding regions</div>
1440298695766	1434200840257	Posterior probability	Probability of a state k at a time i, when the emitted sequence is known
1441666051242	1434200840257	Posterior Decoding	
1441666060447	1434200840257	Viterbi Decoding	
1441666067609	1434200840257	Silent States - what are they	
1441667828838	1434200840257	Silent States - how to include in an algorithm	
1441667839964	1434200840257	Parameter Estimation for HMM	If you know where the islands are, count the transitions, and compare to the whole.<br />If you don't, Baum Wench Algorithm
1441667910157	1434200840257	Baum Welch algorithm	
1441667929589	1434200840257	[$]P_{ab}, \; \; Q_k(a), \;\; p_{ab},\;\;q_k,\;\;f_k(i),\;\;b_k(i)[/$]	
1438156050986	1434200840257	Leibnitz Rule	
1438156108912	1434200840257	Definition of a tangent vector	
1438156308295	1434200840257	When will differentiation give a summation?	
1438156359602	1434200840257	Vector Transformation Law	[$]v'^j=\sum v^i\frac{\partial x'^j}{\partial x^i}[/$]
1438156609825	1434200840257	Duel Vector Space	
1438156828449	1434200840257	Double Duel Vector Space	
1438156870849	1434200840257	one-to-one	
1438156936628	1434200840257	onto	
1438156939206	1434200840257	isomorphism	
1438156943853	1434200840257	Tensor Contraction	
1438157136786	1434200840257	Outer Product	
1438261256685	1434200840257	Integral Curve	
1438261282824	1434200840257	Dual Vectors	
1438261305252	1434200840257	Double Duel Vector	Isomorphic to original space
1438261335191	1434200840257	Cotangent Space	[$]V^*[/$]
1438261401153	1434200840257	Timelike and spacelike vectors	[$]g(v,v)&lt;0,\;\; g(v,v)&gt;0[/$]
1438261938972	1434200840257	Covariant Derivative	
1439092594237	1434200840257	Contraction	
1439092665462	1434200840257	Basis	Linearly Independent<div>Spans the space</div>
1439092697534	1434200840257	Metric, ds=	[$]\sqrt{\sum_{ij}g_{ij}dx^idx^j}[/$]
1439092847913	1434200840257	[$]g(w,w)=0 \implies[/$]	w=0
1439092948835	1434200840257	metric signature	
1439092988970	1434200840257	g(v,v)&gt;&lt;=0	g(v,v)&lt;0 &nbsp; &nbsp;v is a timelike vector<div>g(v,v)=0 &nbsp; &nbsp;v is a null vector</div><div>g(v,v)&gt;0 &nbsp; &nbsp;v is a spacelike vector</div>
1439093154668	1434200840257	g(a,b)	[$]=-(a_0b_0)+a_1b_1+a_2b_2+a_3b_3[/$]
1439093258311	1434200840257	Null vectors form:	A double cone - speed of light line on a space time diagram.
1439178242128	1434200840257	Covariant Derivative Properties	Linearity<div>Leibnitz Rule</div><div>Commutativity with contraction</div><div>Consistancy with directional derivatives:</div><div>[$]\forall f\in F\;\; \forall t^a\in V_p \;\; t(f)=t^a\bigtriangledown_af[/$]</div><div>Torsion Free [$]\nabla_a\nabla_bf=\nabla_b\nabla_af[/$]</div>
1439178514295	1434200840257	Ther is a unique covariant derivative	[$]\nabla_ag_{bc}=0[/$]<div>where g is the metric on the manifold</div>
1439178549597	1434200840257	Geodesic	[$]T^a\nabla_aT^b=0[/$]
1439178643532	1434200840257	Equivalent geodesic equation	[$]T^a\nabla_aT^b=\alpha T^b[/$]
1439178675389	1434200840257	christoffel symbols	
1440253920274	1434200840257	[$]g_{ab}v^b[/$]	[$]v_a[/$]
1440253981948	1434200840257	[$]v^a\frac{\partial}{\partial x^a} \rightarrow_\mu [/$]	[$]v_a dx^a[/$]
1440254062765	1434200840257	symmetric tensor	[$]T_{ab}=T_{ba}[/$]
1440254123460	1434200840257	Totally symmetric part	[$]T_{(ab)}=\frac{1}{2}\left( T_{ab} + T_{ba} \right)[/$]
1440254179354	1434200840257	totally antisymmetric part<div>with example</div>	[$]T_{[ab]} = \frac{1}{2}\left( T_{ab}-T_{ba} \right)[/$]<div>[$]T_{[ab]}v^aw^b=-T_{[ab]}w^av^b[/$]</div>
1440254276648	1434200840257	[$]T_{ (a_1 ... a_l) }[/$]	[$]\frac{1}{l!} \sum_{\pi} &nbsp;\T_{ &nbsp;a_{ \pi_1 } ... &nbsp;a_{ \pi_l } }[/$]
1440254435936	1434200840257	[$]T_{[a_1...a_l]}[/$]	[$]\frac{1}{l!}\Sigma_\pi \delta_\pi T_{a_{\pi_{(1)}}...a_{\pi_{(l)}} }[/$]<div>\delta is 1 for even, and -1 for odd permutations.</div><div><br /></div>
1440254505526	1434200840257	[$]T^{(ab)c}_{[de]}[/$]	[$]\frac{1}{4} \left( T^{abc}_{de} + T^{bac}_{de}-T^{abc}_{ed}-T^{bac}_{ed} \right)[/$]
1440254638032	1434200840257	Covarient derivative properties	Linearity, Leibnitz, Commutativity with contraction,&nbsp;[$]\forall f\in F, \;\;\forall t^a\in V_p\;\;\; t(f)=t^a\bigtriangledown_a f[/$], torsion free ([$]\bigtriangledown_a\bigtriangledown_bf=\bigtriangledown_b\bigtriangledown_af[/$])<div><br /></div>
1440254839350	1434200840257	Given two covariant derivatives, there exists a tensor	[$]C^c_{ab}=\tilde{\bigtriangledown}_a\omega_b-\bigtriangledown_a\omega_b[/$]
1440255029358	1434200840257	Parallel transport	A vector&nbsp;[$]v=v^a\frac{\partial}{\partial x^a}[/$] is parallelly transported along a curve with tangent&nbsp;[$]t=t^a\frac{\partial}{\partial x^a}[/$] if it satisfies:<div>[$]t^a\bigtriangledown_av^b=0[/$]</div><div><br /></div><div>(Derivative of v along the curve is zero)</div>
1440255075349	1434200840257	Tangent vector	[$]t=t^a\frac{\partial}{\partial x^a}[/$]
1440255134819	1434200840257	A vector is parallelly transported if along a curve with tangent t	[$]t^a\bigtriangledown_av^b=0[/$]
1440255182757	1434200840257	A tensor is parallelly transported	[$]t^a\bigtriangledown_aT^{b1...bn}_{c1...cn}=0[/$]
1440255242409	1434200840257	[$]\bigtriangledown_at^b[/$]	[$]=\pd_at^b+\Gamma^b_{ac}t^c[/$]
1440255303498	1434200840257	g(v,w) when parallelly transported	does not change
1440255430588	1434200840257	Geodesic equation	[$]T^a\bigtriangledown_aT^b=0[/$]<div>[$]T^a\bigtriangledown_aT^b=\alpha T^b[/$]</div><div>[$]\frac{dT^b}{dt}+\Gamma^b_{ac}T^aT^c=0[/$]</div>
1440255529060	1434200840257	[$]T^b[/$]	[$]=\frac{dx^b}{dt}[/$]
1440255569274	1434200840257	Tieman curvature tensor	[$]\bigtriangledown_a\bigtriangledown_b \omega_c-\bigtriangledown_b\bigtriangledown_a \omega_c=-R^d_{cab} \omega_d[/$]
1440255684728	1434200840257	Riemann Tensor Properties,&nbsp;[$]R^a_{bcd}[/$]	Prove:<div>Antisymmetry in dc</div><div>[$]R^a_{[bcd]}=0[/$]</div><div>[$]R_{abcd}=g_{ae}R^e_{bcd}=-R_{bacd}[/$]</div><div>Bianchi Identity:&nbsp;[$]\bigtriangledown_{[e}R^a_{|b|cd]}[/$]</div><div>[$]R^a_{acd}=0[/$]</div><div>[$]R^d_{abd}=0[/$]</div>
1440256091881	1434200840257	Ricci Tensor	[$]R_{bd}=R^a_{bad}[/$]<div>contract over middle index</div>
1440256142586	1434200840257	Curvature Scalar	[$]R=R^a_a[/$]<div>[$]R^a_a[/$] is different to the ricci tensor by the metric</div>
1440256155733	1434200840257	A new metric can be defined for any smooth&nbsp;[$]\Omega[/$]	[$]\tilde{g} = \Omega^2 g[/$]<div>[$]\Omega&gt;0[/$]</div><div>conformal transformation</div>
1440256310554	1434200840257	Einstein Tensor	[$]G_{ab}=R_{ab}-\frac{1}{2}Rg_{ab}[/$]
1440256364485	1434200840257	[$]\bigtriangledown^aG_{ab}[/$]	0
1440256398590	1434200840257	Energy-Momentum Tensor	
1440256457477	1434200840257	Einstein Field Equation	[$]G_{ab}=8\pi T_{ab}[/$]<div>G is geometry of space time</div><div>T is matter</div>
1440256491762	1434200840257	[$]\bigtriangledown_aT^{ab}[/$]	0
1440256513776	1434200840257	Vacuum Condition	Empty Space<div>[$]T_{ab}=0\iff R_{ab}=0[/$]</div>
1440256560566	1434200840257	Minkowski Space-Time	Empty space-time<div>[$]<div>\Gamma^a_{bc}=0\\</div><div>R^a_{bcd}=0\\</div><div>R_{ab}=0\\</div><div>R=0\\</div><div>C^a_{bcd}</div>[/$]</div>
1440256650947	1434200840257	spherical coordinates	[$]z=r\;cos\theta\\<div>x=r\;sin\theta cos\phi\\</div><div>y=r\;sin\theta sin\phi</div>[/$]
1440256780338	1434200840257	When is a coordinate system good?	Non degenerate (cannot have r=0 as d\theta becomes redundent)<div>Must be an open set,&nbsp;[$]0&lt;\phi&lt;2\pi[/$], and not degenerate.</div>
1440256872185	1434200840257	Complete Geodesic	a geodesic, [$]\lambda(l)[/$]&nbsp;is define for all&nbsp;[$]l[/$]
1440256954220	1434200840257	Normal coordinates (p84)	[$]r=exp(x^aE_a)[/$], basis&nbsp;[$]\{ E_a \}[/$] of the tangent vector&nbsp;[$]exp^{-1}(r)[/$]<div>[$]x^a=\alpha^al[/$]</div><div>all geodesics are stright lines going through the origin, and the christoffel symbol components are zero at the origin.</div>
1440257023838	1434200840257	geodesics properties	Two points can not in general be joined<div>Geodesics through one point may converge to another point</div>
1440257110811	1434200840257	spacelike	at every point, all tangent vecotrs are timelike
1440257268781	1434200840257	Penrose Diagram	
1440300122538	1434200840257	isomorphic	bijection
1442033181899	1434200840257	Weyl Tensor	Trace free tensor<div>[$]C_{abcd}=R_{abcd} - \frac{2}{n-2}(g_{a[c}R_{d]b}-g_{b[c}R_{d]a}) +\frac{2}{(n-1)(n-2)}Rg_{a[c}g_{d]b} [/$]</div>
1442033469899	1434200840257	Weyl Tensor Symmetry Properties	[$]C_{abcd}=-C_{abdc}[/$]<div>[$]C^a_{[bcd]}=0[/$]</div><div>if [$]\nabla_ag_{bc}=0[/$], then [$]C_{abcd}=-C_{bacd}[/$]</div>
1442033733966	1434200840257	Trace Free	
1442033742052	1434200840257	Weyl Tensor Trace	It is trace free
1442033751606	1434200840257	For [$]\tilde{g}=\Sigma^2g[/$]<div>[$]\Sigma\in C^\infty,\;\; \Sigma&gt;0[/$]</div>	[$]\tilde{C}^a_{bcd}=C^a_{cbd}[/$]<div>i.e. conformally invariant</div>
1442034256845	1434200840257	geodesically complete	
1442034793546	1434200840257	Null Surface	
1452338665365	1434200840257	E=3/2 kT	ideal gas molecule energy
1452338172248	1434200840257	Linear thermal expansion coefficient	[$]\alpha := \frac{\delta L/L}{\delta T}[/$]
